event_type,timestamp,job_id,job_planned_duration,job_remaining_duration,job_type,machine_id,machine_name,operator_id,operator_name,parts_made
job_added_to_store,5415.1973822527125,434,16.292615496132118,16.292615496132118,JobType.ELECTRICAL_MAINTENANCE,0,,,,
job_added_to_store,5415.203321764167,433,10.536724395883203,1.9667243958833849,JobType.MECHANICAL_MAINTENANCE,3,,,,
job_started,5415.203321764167,434,,,JobType.ELECTRICAL_MAINTENANCE,0,,0,Operator 0,
machine_part_completed,5427.684656361622,,,,,2,Machine 2,,,211
machine_part_completed,5431.495937260655,,,,,0,Machine 0,,,200
job_started,5431.495937260655,433,,,JobType.MECHANICAL_MAINTENANCE,3,,0,Operator 0,
machine_part_completed,5433.462661656582,,,,,3,Machine 3,,,240
job_started,5433.462661656582,432,,,JobType.MECHANICAL_MAINTENANCE,4,,0,Operator 0,
on_machine_broken,5433.73592777384,,,,,,,,,
job_added_to_store,5433.73592777384,435,4.924914048189394,4.924914048189394,JobType.SOFTWARE_UPDATE,0,,,,
machine_part_completed,5436.212937007545,,,,,2,Machine 2,,,212
machine_part_completed,5442.767267866048,,,,,2,Machine 2,,,213
on_machine_broken,5443.396225808934,,,,,,,,,
job_added_to_store,5443.396225808934,436,33.059203194222704,33.059203194222704,JobType.ELECTRICAL_MAINTENANCE,2,,,,
job_added_to_store,5443.402661656799,432,10.813457946575701,0.8734579465758878,JobType.MECHANICAL_MAINTENANCE,4,,,,
job_started,5443.402661656799,436,,,JobType.ELECTRICAL_MAINTENANCE,2,,0,Operator 0,
machine_part_completed,5443.876232784949,,,,,3,Machine 3,,,241
machine_part_completed,5453.045509106198,,,,,3,Machine 3,,,242
machine_part_completed,5463.23790939214,,,,,3,Machine 3,,,243
on_machine_broken,5463.708000560822,,,,,,,,,
job_added_to_store,5463.708000560822,437,9.156032374885525,9.156032374885525,JobType.MECHANICAL_MAINTENANCE,3,,,,
machine_part_completed,5476.461864851741,,,,,2,Machine 2,,,214
job_started,5476.461864851741,432,,,JobType.MECHANICAL_MAINTENANCE,4,,0,Operator 0,
machine_part_completed,5477.335322798335,,,,,4,Machine 4,,,232
job_started,5477.335322798335,437,,,JobType.MECHANICAL_MAINTENANCE,3,,0,Operator 0,
on_machine_broken,5484.471740909913,,,,,,,,,
job_added_to_store,5484.471740909913,438,8.17341739272943,8.17341739272943,JobType.MECHANICAL_MAINTENANCE,2,,,,
machine_part_completed,5485.535126974319,,,,,4,Machine 4,,,233
machine_part_completed,5486.491355173421,,,,,3,Machine 3,,,244
job_started,5486.491355173421,438,,,JobType.MECHANICAL_MAINTENANCE,2,,0,Operator 0,
machine_part_completed,5494.664772566329,,,,,2,Machine 2,,,215
job_started,5494.664772566329,429,,,JobType.SOFTWARE_UPDATE,1,,0,Operator 0,
machine_part_completed,5496.027964788669,,,,,1,Machine 1,,,217
job_started,5496.027964788669,435,,,JobType.SOFTWARE_UPDATE,0,,0,Operator 0,
machine_part_completed,5498.712685098098,,,,,4,Machine 4,,,234
machine_part_completed,5498.978021312961,,,,,3,Machine 3,,,245
machine_part_completed,5500.952878836966,,,,,0,Machine 0,,,201
machine_part_completed,5503.027745219509,,,,,2,Machine 2,,,216
machine_part_completed,5503.068687223565,,,,,1,Machine 1,,,218
machine_part_completed,5509.286936306106,,,,,3,Machine 3,,,246
machine_part_completed,5510.530461999862,,,,,0,Machine 0,,,202
machine_part_completed,5510.92945395146,,,,,4,Machine 4,,,235
on_machine_broken,5511.093938440788,,,,,,,,,
job_added_to_store,5511.093938440788,439,12.33376097975571,12.33376097975571,JobType.MECHANICAL_MAINTENANCE,4,,,,
job_started,5511.093938440788,439,,,JobType.MECHANICAL_MAINTENANCE,4,,0,Operator 0,
machine_part_completed,5511.601710682845,,,,,2,Machine 2,,,217
machine_part_completed,5513.293745982388,,,,,1,Machine 1,,,219
on_machine_broken,5514.6412057083435,,,,,,,,,
job_added_to_store,5514.6412057083435,440,7.717003132432882,7.717003132432882,JobType.MECHANICAL_MAINTENANCE,0,,,,
job_added_to_store,5514.643938440866,439,12.33376097975571,8.783760979755785,JobType.MECHANICAL_MAINTENANCE,4,,,,
job_started,5514.643938440866,440,,,JobType.MECHANICAL_MAINTENANCE,0,,0,Operator 0,
on_machine_broken,5520.2615796285245,,,,,,,,,
job_added_to_store,5520.2615796285245,441,12.968507865927773,12.968507865927773,JobType.MECHANICAL_MAINTENANCE,3,,,,
machine_part_completed,5522.0005297318385,,,,,2,Machine 2,,,218
machine_part_completed,5522.2305200200235,,,,,1,Machine 1,,,220
machine_part_completed,5522.360941573467,,,,,0,Machine 0,,,203
job_started,5522.360941573467,439,,,JobType.MECHANICAL_MAINTENANCE,4,,0,Operator 0,
on_machine_broken,5527.831623773495,,,,,,,,,
job_added_to_store,5527.831623773495,442,10.540978665508218,10.540978665508218,JobType.MECHANICAL_MAINTENANCE,0,,,,
on_machine_broken,5528.544694490913,,,,,,,,,
job_added_to_store,5528.544694490913,443,5.396615385601084,5.396615385601084,JobType.SOFTWARE_UPDATE,1,,,,
machine_part_completed,5531.144702553414,,,,,4,Machine 4,,,236
job_started,5531.144702553414,442,,,JobType.MECHANICAL_MAINTENANCE,0,,0,Operator 0,
machine_part_completed,5531.50328289906,,,,,2,Machine 2,,,219
on_machine_broken,5533.842724133136,,,,,,,,,
job_added_to_store,5533.842724133136,444,5.297677876195842,5.297677876195842,JobType.SOFTWARE_UPDATE,4,,,,
machine_part_completed,5540.700250578317,,,,,2,Machine 2,,,220
machine_part_completed,5541.685681219153,,,,,0,Machine 0,,,204
job_started,5541.685681219153,441,,,JobType.MECHANICAL_MAINTENANCE,3,,0,Operator 0,
on_machine_broken,5549.014309143273,,,,,,,,,
job_added_to_store,5549.014309143273,445,23.58238910385141,23.58238910385141,JobType.ELECTRICAL_MAINTENANCE,2,,,,
job_added_to_store,5549.015681219313,441,12.968507865927773,5.638507865927929,JobType.MECHANICAL_MAINTENANCE,3,,,,
job_started,5549.015681219313,445,,,JobType.ELECTRICAL_MAINTENANCE,2,,0,Operator 0,
machine_part_completed,5549.301488482184,,,,,0,Machine 0,,,205
on_machine_broken,5552.258120078345,,,,,,,,,
job_added_to_store,5552.258120078345,446,19.64635455854717,19.64635455854717,JobType.ELECTRICAL_MAINTENANCE,0,,,,
job_added_to_store,5552.265681219384,445,23.58238910385141,20.3323891038509,JobType.ELECTRICAL_MAINTENANCE,2,,,,
job_started,5552.265681219384,446,,,JobType.ELECTRICAL_MAINTENANCE,0,,0,Operator 0,
machine_part_completed,5571.9120357783595,,,,,0,Machine 0,,,206
job_started,5571.9120357783595,445,,,JobType.ELECTRICAL_MAINTENANCE,2,,0,Operator 0,
on_machine_broken,5571.91208923588,,,,,,,,,
job_added_to_store,5571.91208923588,447,4.906018414501334,4.906018414501334,JobType.SOFTWARE_UPDATE,0,,,,
machine_part_completed,5592.244424882654,,,,,2,Machine 2,,,221
job_started,5592.244424882654,441,,,JobType.MECHANICAL_MAINTENANCE,3,,0,Operator 0,
machine_part_completed,5597.882932748705,,,,,3,Machine 3,,,247
job_started,5597.882932748705,447,,,JobType.SOFTWARE_UPDATE,0,,0,Operator 0,
machine_part_completed,5602.788951163313,,,,,0,Machine 0,,,207
job_started,5602.788951163313,444,,,JobType.SOFTWARE_UPDATE,4,,0,Operator 0,
machine_part_completed,5603.4399466285895,,,,,2,Machine 2,,,222
machine_part_completed,5608.086629039624,,,,,4,Machine 4,,,237
job_started,5608.086629039624,443,,,JobType.SOFTWARE_UPDATE,1,,0,Operator 0,
machine_part_completed,5608.2585275534675,,,,,3,Machine 3,,,248
machine_part_completed,5613.262372948122,,,,,0,Machine 0,,,208
machine_part_completed,5613.483244425343,,,,,1,Machine 1,,,221
machine_part_completed,5614.432069660033,,,,,2,Machine 2,,,223
on_machine_broken,5615.283675969584,,,,,,,,,
job_added_to_store,5615.283675969584,448,11.231642516304413,11.231642516304413,JobType.MECHANICAL_MAINTENANCE,2,,,,
job_started,5615.283675969584,448,,,JobType.MECHANICAL_MAINTENANCE,2,,0,Operator 0,
machine_part_completed,5616.966646631709,,,,,4,Machine 4,,,238
on_machine_broken,5618.313354936229,,,,,,,,,
job_added_to_store,5618.313354936229,449,25.96396245917516,25.96396245917516,JobType.ELECTRICAL_MAINTENANCE,3,,,,
job_added_to_store,5618.31367596965,448,11.231642516304413,8.201642516304478,JobType.MECHANICAL_MAINTENANCE,2,,,,
job_started,5618.31367596965,449,,,JobType.ELECTRICAL_MAINTENANCE,3,,0,Operator 0,
on_machine_broken,5619.014255851655,,,,,,,,,
job_added_to_store,5619.014255851655,450,15.878277623314835,15.878277623314835,JobType.ELECTRICAL_MAINTENANCE,4,,,,
job_added_to_store,5619.023675969665,449,25.96396245917516,25.25396245917505,JobType.ELECTRICAL_MAINTENANCE,3,,,,
job_started,5619.023675969665,450,,,JobType.ELECTRICAL_MAINTENANCE,4,,0,Operator 0,
machine_part_completed,5624.011877092908,,,,,1,Machine 1,,,222
on_machine_broken,5624.542069743469,,,,,,,,,
job_added_to_store,5624.542069743469,451,4.6225654222587655,4.6225654222587655,JobType.SOFTWARE_UPDATE,0,,,,
machine_part_completed,5634.901953593327,,,,,4,Machine 4,,,239
job_started,5634.901953593327,449,,,JobType.ELECTRICAL_MAINTENANCE,3,,0,Operator 0,
machine_part_completed,5636.0565890932885,,,,,1,Machine 1,,,223
on_machine_broken,5637.559441433772,,,,,,,,,
job_added_to_store,5637.559441433772,452,14.11621510183403,14.11621510183403,JobType.MECHANICAL_MAINTENANCE,1,,,,
machine_part_completed,5645.802644589005,,,,,4,Machine 4,,,240
machine_part_completed,5656.479321484021,,,,,4,Machine 4,,,241
machine_part_completed,5660.155916053051,,,,,3,Machine 3,,,249
job_started,5660.155916053051,448,,,JobType.MECHANICAL_MAINTENANCE,2,,0,Operator 0,
on_machine_broken,5663.337800629388,,,,,,,,,
job_added_to_store,5663.337800629388,453,26.074000660727737,26.074000660727737,JobType.ELECTRICAL_MAINTENANCE,4,,,,
job_added_to_store,5663.345916053121,448,11.231642516304413,5.011642516304546,JobType.MECHANICAL_MAINTENANCE,2,,,,
job_started,5663.345916053121,453,,,JobType.ELECTRICAL_MAINTENANCE,4,,0,Operator 0,
machine_part_completed,5671.255339502137,,,,,3,Machine 3,,,250
machine_part_completed,5679.395925698599,,,,,3,Machine 3,,,251
on_machine_broken,5680.023936297586,,,,,,,,,
job_added_to_store,5680.023936297586,454,16.35768170514287,16.35768170514287,JobType.ELECTRICAL_MAINTENANCE,3,,,,
machine_part_completed,5689.419916714417,,,,,4,Machine 4,,,242
job_started,5689.419916714417,454,,,JobType.ELECTRICAL_MAINTENANCE,3,,0,Operator 0,
on_machine_broken,5691.1751430709,,,,,,,,,
job_added_to_store,5691.1751430709,455,9.541704097210383,9.541704097210383,JobType.MECHANICAL_MAINTENANCE,4,,,,
machine_part_completed,5705.777598419917,,,,,3,Machine 3,,,252
job_started,5705.777598419917,448,,,JobType.MECHANICAL_MAINTENANCE,2,,0,Operator 0,
on_machine_broken,5706.879333156659,,,,,,,,,
job_added_to_store,5706.879333156659,456,27.27498630049663,27.27498630049663,JobType.ELECTRICAL_MAINTENANCE,3,,,,
job_added_to_store,5706.887598419941,448,11.231642516304413,3.9016425163045696,JobType.MECHANICAL_MAINTENANCE,2,,,,
job_started,5706.887598419941,456,,,JobType.ELECTRICAL_MAINTENANCE,3,,0,Operator 0,
machine_part_completed,5734.162584721032,,,,,3,Machine 3,,,253
job_started,5734.162584721032,448,,,JobType.MECHANICAL_MAINTENANCE,2,,0,Operator 0,
machine_part_completed,5738.064227237422,,,,,2,Machine 2,,,224
job_started,5738.064227237422,455,,,JobType.MECHANICAL_MAINTENANCE,4,,0,Operator 0,
machine_part_completed,5744.444605163984,,,,,2,Machine 2,,,225
machine_part_completed,5746.766382592594,,,,,3,Machine 3,,,254
machine_part_completed,5747.6059313348405,,,,,4,Machine 4,,,243
job_started,5747.6059313348405,452,,,JobType.MECHANICAL_MAINTENANCE,1,,0,Operator 0,
on_machine_broken,5748.469409667,,,,,,,,,
job_added_to_store,5748.469409667,457,5.376610650982612,5.376610650982612,JobType.SOFTWARE_UPDATE,3,,,,
on_machine_broken,5754.951389091622,,,,,,,,,
job_added_to_store,5754.951389091622,458,11.515988119685492,11.515988119685492,JobType.MECHANICAL_MAINTENANCE,2,,,,
machine_part_completed,5758.121048617201,,,,,4,Machine 4,,,244
machine_part_completed,5761.722146436983,,,,,1,Machine 1,,,224
job_started,5761.722146436983,458,,,JobType.MECHANICAL_MAINTENANCE,2,,0,Operator 0,
machine_part_completed,5765.619346411104,,,,,4,Machine 4,,,245
on_machine_broken,5766.737488117992,,,,,,,,,
job_added_to_store,5766.737488117992,459,4.748525620276322,4.748525620276322,JobType.SOFTWARE_UPDATE,4,,,,
machine_part_completed,5771.969355017829,,,,,1,Machine 1,,,225
machine_part_completed,5773.23813455692,,,,,2,Machine 2,,,226
job_started,5773.23813455692,451,,,JobType.SOFTWARE_UPDATE,0,,0,Operator 0,
machine_part_completed,5777.86069997928,,,,,0,Machine 0,,,209
job_started,5777.86069997928,459,,,JobType.SOFTWARE_UPDATE,4,,0,Operator 0,
machine_part_completed,5780.424665463658,,,,,2,Machine 2,,,227
machine_part_completed,5781.213196107589,,,,,1,Machine 1,,,226
machine_part_completed,5782.60922559966,,,,,4,Machine 4,,,246
job_started,5782.60922559966,457,,,JobType.SOFTWARE_UPDATE,3,,0,Operator 0,
on_machine_broken,5784.933276177766,,,,,,,,,
job_added_to_store,5784.933276177766,460,4.5302026986124595,4.5302026986124595,JobType.SOFTWARE_UPDATE,4,,,,
machine_part_completed,5787.98583625076,,,,,3,Machine 3,,,255
job_started,5787.98583625076,460,,,JobType.SOFTWARE_UPDATE,4,,0,Operator 0,
machine_part_completed,5788.159445063929,,,,,1,Machine 1,,,227
on_machine_broken,5789.568819111484,,,,,,,,,
job_added_to_store,5789.568819111484,461,8.7266015404153,8.7266015404153,JobType.MECHANICAL_MAINTENANCE,3,,,,
job_added_to_store,5789.575836250795,460,4.5302026986124595,2.9402026986124934,JobType.SOFTWARE_UPDATE,4,,,,
job_started,5789.575836250795,461,,,JobType.MECHANICAL_MAINTENANCE,3,,0,Operator 0,
machine_part_completed,5789.921350552399,,,,,0,Machine 0,,,210
machine_part_completed,5792.98328000529,,,,,2,Machine 2,,,228
machine_part_completed,5797.334803610101,,,,,1,Machine 1,,,228
machine_part_completed,5798.302437791401,,,,,3,Machine 3,,,256
job_started,5798.302437791401,460,,,JobType.SOFTWARE_UPDATE,4,,0,Operator 0,
on_machine_broken,5799.530912064041,,,,,,,,,
job_added_to_store,5799.530912064041,462,10.709072062287106,10.709072062287106,JobType.MECHANICAL_MAINTENANCE,0,,,,
job_added_to_store,5799.532437791428,460,4.5302026986124595,1.7102026986125132,JobType.SOFTWARE_UPDATE,4,,,,
job_started,5799.532437791428,462,,,JobType.MECHANICAL_MAINTENANCE,0,,0,Operator 0,
on_machine_broken,5801.187221156464,,,,,,,,,
job_added_to_store,5801.187221156464,463,36.10095938092814,36.10095938092814,JobType.ELECTRICAL_MAINTENANCE,3,,,,
job_added_to_store,5801.192437791464,462,10.709072062287106,9.049072062287141,JobType.MECHANICAL_MAINTENANCE,0,,,,
job_started,5801.192437791464,463,,,JobType.ELECTRICAL_MAINTENANCE,3,,0,Operator 0,
machine_part_completed,5805.301727252118,,,,,2,Machine 2,,,229
on_machine_broken,5806.64690709979,,,,,,,,,
job_added_to_store,5806.64690709979,464,24.15945442002067,24.15945442002067,JobType.ELECTRICAL_MAINTENANCE,2,,,,
job_added_to_store,5806.652437791583,463,36.10095938092814,30.64095938092874,JobType.ELECTRICAL_MAINTENANCE,3,,,,
job_started,5806.652437791583,464,,,JobType.ELECTRICAL_MAINTENANCE,2,,0,Operator 0,
machine_part_completed,5807.687529523518,,,,,1,Machine 1,,,229
machine_part_completed,5813.957476438347,,,,,1,Machine 1,,,230
machine_part_completed,5827.480396649866,,,,,1,Machine 1,,,231
machine_part_completed,5830.81189221213,,,,,2,Machine 2,,,230
job_started,5830.81189221213,463,,,JobType.ELECTRICAL_MAINTENANCE,3,,0,Operator 0,
machine_part_completed,5836.201442654033,,,,,1,Machine 1,,,232
machine_part_completed,5839.922191441447,,,,,2,Machine 2,,,231
machine_part_completed,5846.198874070093,,,,,1,Machine 1,,,233
machine_part_completed,5848.3570675948595,,,,,2,Machine 2,,,232
machine_part_completed,5855.938780432297,,,,,1,Machine 1,,,234
machine_part_completed,5859.035973363017,,,,,2,Machine 2,,,233
on_machine_broken,5859.9357207726935,,,,,,,,,
job_added_to_store,5859.9357207726935,465,4.160824696862998,4.160824696862998,JobType.SOFTWARE_UPDATE,2,,,,
machine_part_completed,5861.452851593725,,,,,3,Machine 3,,,257
job_started,5861.452851593725,462,,,JobType.MECHANICAL_MAINTENANCE,0,,0,Operator 0,
machine_part_completed,5866.547066716669,,,,,1,Machine 1,,,235
on_machine_broken,5868.0946189674405,,,,,,,,,
job_added_to_store,5868.0946189674405,466,22.60415537634001,22.60415537634001,JobType.ELECTRICAL_MAINTENANCE,1,,,,
